benchmark_set,exact_feature_name,mathematical_definition,source_provider,endpoint,raw_fields,original_frequency,temporal_aggregation,lookback_window,minimum_observations,timestamp_used_for_availability,lag,session_reset_behaviour,missing_value_behaviour,quality_filters,fitted_parameters_required,fitting_sample,leakage_risk,implementation_file,function_or_class,tests,status
B2,b2_call_put_premium_imbalance,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_ask_side_premium_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_bid_side_premium_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_midpoint_premium_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_multileg_trade_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_sweep_or_equivalent_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_strike_concentration,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_expiry_concentration,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_median_days_to_expiry,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_median_absolute_moneyness,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_repeated_contract_trade_count,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_repeated_contract_premium,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_implied_volatility_median,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_within_bin_iv_change,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_valid_trade_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_missing_iv_share,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_unusual_intensity_score,calibration-only robust trailing score applied to pilot,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_unusual_event,secondary trailing label; not a primary predictor,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,METADATA_ONLY
